text,label
An information disclosure vulnerability exists in curl 7.65.0 to 7.82.0 are vulnerable that by using an IPv6 address that was in the connection pool but with a different zone id it could reuse a connection instead.,ambiguous
An insufficiently protected credentials vulnerability exists in curl 4.9 to and include curl 7.82.0 are affected that could allow an attacker to extract credentials when follows HTTP(S) redirects is used with authentication could leak credentials to other services that exist on different protocols or port numbers.,ambiguous
"An improper authentication vulnerability exists in curl 7.33.0 to and including 7.82.0 which might allow reuse OAUTH2-authenticated connections without properly making sure that the connection was authenticated with the same credentials as set for this transfer. This affects SASL-enabled protocols: SMPTP(S), IMAP(S), POP3(S) and LDAP(S) (openldap only).",ambiguous
A user controlled parameter related to SMTP test functionality is not correctly validated making it possible to bypass blocked network recipients.,ambiguous
User controlled parameters related to SMTP notifications are not correctly validated. This can lead to a buffer overflow resulting in crashes and data leakage.,ambiguous
"A use-after-free flaw was found in the Linux kernel’s Ext4 File System in how a user triggers several file operations simultaneously with the overlay FS usage. This flaw allows a local user to crash or potentially escalate their privileges on the system. Only if patch 9a2544037600 (""ovl: fix use after free in struct ovl_aio_req"") not applied yet, the kernel could be affected.",ambiguous
"A use-after-free flaw was found in the Linux kernel’s core dump subsystem. This flaw allows a local user to crash the system. Only if patch 390031c94211 (""coredump: Use the vma snapshot in fill_files_note"") not applied yet, then kernel could be affected.",ambiguous
An issue was discovered in the Linux kernel before 5.13.3. lib/seq_buf.c has a seq_buf_putmem_hex buffer overflow.,ambiguous
Memory corruption due to buffer copy without checking the size of input while loading firmware in Linux Kernel.,ambiguous
"Meizu 16S Pro is a smartphone of Zhuhai Meizu Technology Co., Ltd..     Meizu 16S Pro has information leakage vulnerabilities, and attackers can use the vulnerability to obtain sensitive information.",es
Nokia 6.2 is a smartphone.     Nokia 6.2 has information leakage vulnerabilities. The attacker can use vulnerabilities to obtain sensitive information.,es
Nokia 7.2 is a smartphone.     Nokia 7.2 has information leakage vulnerabilities. The attacker can use vulnerabilities to obtain sensitive information.,es
VSMART JOY 2+ is a smartphone.     VSMART JOY 2+ exists in information leakage vulnerabilities. The attacker can use vulnerabilities to obtain sensitive information.,es
VSMART LIVE is a smartphone.     VSMART LIVE has information leakage vulnerabilities. The attacker can use vulnerabilities to obtain sensitive information.,es
Zenfone 4 Max (ZC520KL) is a smartphone.     Zenfone 4 Max (ZC520KL) has information leakage vulnerabilities. The attacker can use vulnerabilities to obtain sensitive information.,es
"ASUS Zenfone Live (L1) is a smartphone listed in 2018 in 2018.     Asus Zenfone Live (L1) mobile phones have information leakage vulnerabilities, and attackers can use this vulnerability to get sensitive information.",es
"Razer Phone, Razer Phone, is a smartphone of the Razer brand series.     The Razer Phone mobile phone has information leakage vulnerabilities, and attackers can use the vulnerability to get sensitive information.",es
General Mobile is a Turkish smartphone manufacturer.     General Mobile GM8 has information leakage vulnerabilities. The attacker can use vulnerabilities to obtain sensitive information.,es
General Mobile is a Turkish smartphone manufacturer.     General Mobile GM9 Pro has information leakage vulnerabilities. The attacker can use vulnerabilities to obtain sensitive information.,es
"Guangdong Tianyu Network Technology Co., Ltd. operates: the development and sales of computer software and hardware technology; technology development and sales of Internet and mobile Internet software products; and the design of mobile communication equipment and software.     There are unauthorized access vulnerabilities in the vivo mobile phone interface, and the attacker can use the vulnerability to obtain sensitive information.",es
"Belkin Corporation is a global leading manufacturer of peripheral products, providing innovative connection technologies for users, digital and mobile products.     The LCAD03FLN series has information leakage vulnerabilities, and attackers can use the vulnerability to obtain sensitive information.",es
"Belkin Corporation is a global leading manufacturer of peripheral products, providing innovative connection technologies for users, digital and mobile products.     The LCAD03VLNOD series has information leakage vulnerabilities, and attackers can use this vulnerability to obtain sensitive information.",es
"Xiaoxin XY300 projector is a home, portable mini projector.     Lenovo Xiaoxin XY300 projector has a directory traversal vulnerability, and the attacker can use the vulnerability to obtain sensitive information.",es
"BRICS communication technology is the world's leading network video solution provider.     Brickcom FB-200NP cameras have weak passage vulnerabilities, and attackers can use this vulnerability to get sensitive information.",es
"Flir Systems (INC.) focuses on design, development, production, marketing, and promotion to enhance professional technologies. Through thermal imaging, visible light imaging, video analysis, measurement and diagnosis, and advanced threat detection system, we bring innovative sensing solutions into daily life.     FC-Series has a weak loophole. The attacker uses the default weak password to log in to the background to obtain sensitive information.",es
"Flir Systems (INC.) focuses on design, development, production, marketing, and promotion to enhance professional technologies. Through thermal imaging, visible light imaging, video analysis, measurement and diagnosis, and advanced threat detection system, we bring innovative sensing solutions into daily life.     FB-Series has a weak loophole. The attacker uses the default weak password to log in to the background to obtain sensitive information.",es
Asus Zenfone Max Pro (M2) is a smartphone.     Asus Zenfone Max Pro (M2) exists in information leakage vulnerabilities. The attacker can use loopholes to listen to the content of the user.,es
"Hisense has listed companies, Hisense Video (600060) and Hisense Home Appliances (000921) in Shanghai, Shenzhen and Hong Kong. (Ronshen) and Asko and other brands.     Hisense A5 series mobile phones have information leakage vulnerabilities. The attacker can use loopholes to listen to the content of the user.",es
"OPPO Find X is a smartphone launched by OPPO Guangdong Mobile Communications Co., Ltd.     OPPO Find X has information leakage vulnerabilities. The attacker can use the malicious APP to read the permissions of the commonly used external storage space to monitor the user's call content through the exposure component.",es
"BRICS communication technology takes Taiwan as the foundation, is committed to developing a full range of safety monitoring system products, and created its own brand Brickcom. It has established a sound distribution channel system in the Americas, Europe, Asia, and New Australia.     Brickcom FB-200NP cameras have logical defect vulnerabilities. The attacker can use the recording order to add the administrator.",es
"Yongbo (Xiamen) Electric Technology Co., Ltd. was founded in 2010 and focused on the overall solution of sports control. It is a professional sports control product and solution provider.     Yongbo (Xiamen) Electric Technology Co., Ltd. WinbowPlc has binary vulnerabilities, and attackers can use this vulnerability to cause rejection of service.",es
"SUPERE32 L601 RTU is an integrated RTU of security technology, which is suitable for the SCADA system.     The Super32 L601 RTU has a reject service vulnerability, and the attacker can use this vulnerability to cause rejection of service.",es
"Campus IoT intelligent management systems can monitor and control all access devices, centralized management, data statistics, and statement presentation.     Shenzhen Kexu Technology Co., Ltd. has a weak passage vulnerability in the intelligent management system of the campus Internet of Things, and the attacker can use this vulnerability to obtain sensitive information.",es
"Zhejiang Dahua Technology Co., Ltd. is a smart IoT solution provider and operating service provider with video as the core.     Zhejiang Dahua Technology Co., Ltd. A3A04MG7 has rejection of service vulnerabilities. The attacker can use this vulnerability to cause rejection.",es
"Bosch (China) Investment Co., Ltd.'s operating scope includes investment in machinery manufacturing, light industry, electronics and information industry.     Bosch (China) Investment Co., Ltd. VRM has unauthorized access vulnerabilities, and attackers can use this vulnerability to obtain sensitive information.",es
"China Mobile Communications Co., Ltd.'s business scope includes: IP telephone business; Data transmission business of Internet access to service business, Internet backbone network data transmission business; and design of network design such as mobile communication, IP phone and Internet network.     There are logical defect vulnerabilities in the Magic Box network set -top box, and the attacker can use the vulnerability to obtain sensitive information.",es
Penguin Aurora Box is a high -end network high -definition set -top box produced by Tencent Video and Skyworth Digital.     There is an unauthorized access loophole in the Penguin Aurora Box. The attacker can use the vulnerability to access the remote control TV with specific links.,es
"WJ95-RJ45 is a collection module of the Internet of Things and Industrial Ethernet, which realizes transparent data interaction between sensors and networks. The data of the sensor can be forwarded to the network or the data from the network can be forwarded to the sensor.     Wanjun WJ95-RJ45 has a reject service vulnerability. The attacker can use vulnerabilities to construct a specific network data packet to reject the device's rejection service, affecting the normal operation of the controller.",es
"Penguin Aurora Box is a high -end network high -definition set -top box produced by Tencent Video and Skyworth Digital.     Skyworth Digital Technology Co., Ltd. Penguin Aurora Box has rejection of service vulnerabilities, and attackers can use this vulnerability to cause rejection services.",es
"Nanrui Self -Control is a high -tech entity that integrates software development, hardware development, technical services, equipment production, and system sets.     The MB80-CPU722E has a reject service vulnerability, and the attacker can use the vulnerability to cause rejection.",es
"The fields involving the fields include the overall solution of power management, video display, industrial automation, online communication products, and renewable energy -related products.     Delta DOP 107EG has rejection of service vulnerabilities, and attackers can use this vulnerability to cause rejection.",es
"Siemens RWG1.M12D S55370-C170 programmable universal controller integrates many years of Siemens's years of experience in buildings, HVAC and other industries. Based on universal hardware design, programmable software platforms, and powerful communication processing capabilities.     Siemens RWG1.M12D S55370-C170 has rejection service vulnerabilities, and attackers can use this vulnerability to cause rejection.",es
"The business scope of Beacon Communication Technology Co., Ltd. includes: optical fiber communication and related communication technology, information technology fields, industrial Internet, and the development of science and technology development in the field of Internet of Things.     HG220GS-U has a refusal service vulnerability, and the attacker can use the vulnerability to cause rejection.",es
"Shenzhen Skyworth Digital Technology Co., Ltd. is a high -tech enterprise focusing on providing digital TV network audiovisual products and operations and services to global users.     DT541-CSF devices have rejected service vulnerabilities, and attackers can use this vulnerability to cause rejection.",es
"Rockwell Automation Co., Ltd. is the world's largest company that is committed to industrial automation and information, and is committed to helping customers improve productivity and sustainable development of the world.     Rockwell Automation Allen-Bradley 1756-En2T/D has a reject service vulnerability. The attacker can use this vulnerability to launch a refusal service attack.",es
"On Deck Thermal Cycler 8100100 is a temperature controller produced by Inheco in Germany, supporting Ethernet communication.     Inheco On Deck Thermal Cycler 8100100 has a refusal service vulnerability, and an attacker can use the vulnerability to launch a refusal service attack.",es
"ACS SPIIPLUSEC-08 is a sports controller produced by ACS Motion Control, supporting Ethernet communication.     The ACS Motion Control ACS SPIIPLUSEC-08 TCP protocol has a reject service vulnerability, and the attacker can use the vulnerability to launch a refusal service attack.",es
"SCU9020 is the controller of Zhejiang Central Control TCS-900 security instrument system. It can configuration to the Ethernet communication module in the TCS-900 security instrument system.     Zhejiang Central Control TCS-900 security instrument system has rejected service vulnerabilities, and attackers can use this vulnerability to cause refusal service attacks.",es
The TRICON security instrument system is Schneider Electric's security instrument system. The MP3009 module is the processor module of the Schneider Tricon security instrument system.     The MP3009 processor of the Schneider Tricon security instrument system has rejected service vulnerabilities. The attacker can use this vulnerability to launch a refusal service attack.,es
"The TRICON security instrument system is Schneider Electric's security instrument system. The TCM 4351B communication card is the communication card of the Schneider Tricon security instrument system, supporting Ethernet and serial communication.     The TCM 4351B communication card of the Schneider Tricon security instrument system has rejected service vulnerabilities. The attacker can use this vulnerability to launch a refusal service attack.",es
,es
"Omron CX-One CX-Programmer before 9.6, CJ2M PLC devices before 2.1, and CJ2H PLC devices before 1.5 use a reversible format for password storage in object files on Compact Flash cards, which makes it easier for local users to obtain sensitive information by reading a file.",es
"IOHIDFamily in Apple iOS before 8.3, Apple OS X before 10.10.3, and Apple TV before 7.2 allows physically proximate attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted HID device.",es
"IOHIDFamily in Apple iOS before 8.3, Apple OS X before 10.10.3, and Apple TV before 7.2 allows attackers to obtain sensitive information about kernel memory via a crafted app.",es
IOMobileFramebuffer in Apple iOS before 8.3 and Apple TV before 7.2 allows attackers to obtain sensitive information about kernel memory via a crafted app.,es
"Race condition in the setreuid system-call implementation in the kernel in Apple iOS before 8.3, Apple OS X before 10.10.3, and Apple TV before 7.2 allows attackers to cause a denial of service via a crafted app.",es
"The kernel in Apple iOS before 8.3, Apple OS X before 10.10.3, and Apple TV before 7.2 allows attackers to cause a denial of service (out-of-bounds memory access) or obtain sensitive memory-content information via a crafted app.",es
"The kernel in Apple iOS before 8.3, Apple OS X before 10.10.3, and Apple TV before 7.2 allows attackers to execute arbitrary code in a privileged context or cause a denial of service (memory corruption) via a crafted app.",es
"The kernel in Apple iOS before 8.3, Apple OS X before 10.10.3, and Apple TV before 7.2 does not properly handle TCP headers, which allows man-in-the-middle attackers to cause a denial of service via unspecified vectors.",es
"The kernel in Apple iOS before 8.3, Apple OS X before 10.10.3, and Apple TV before 7.2 makes routing changes in response to ICMP_REDIRECT messages, which allows remote attackers to cause a denial of service (network outage) or obtain sensitive packet-content information via a crafted ICMP packet.",es
"The kernel in Apple iOS before 8.3, Apple OS X before 10.10.3, and Apple TV before 7.2 does not properly determine whether an IPv6 packet had a local origin, which allows remote attackers to bypass an intended network-filtering protection mechanism via a crafted packet.",es
"The TCP implementation in the kernel in Apple iOS before 8.3, Apple OS X before 10.10.3, and Apple TV before 7.2 does not properly implement the Urgent (aka out-of-band data) mechanism, which allows remote attackers to cause a denial of service via crafted packets.",es
Information disclosure vulnerability in Netatmo Indoor Module firmware 100 and earlier.,es
"Multiple cross-site scripting (XSS) vulnerabilities in the administration pages in Kallithea before 0.2.1 allow remote attackers to inject arbitrary web script or HTML via the (1) first name or (2) last name user details, or the (3) repository, (4) repository group, or (5) user group description.",classic
TRENDnet WiFi Baby Cam TV-IP743SIC has a password of admin for the backdoor root account.,es
"Philips In.Sight B120/37 has XSS, related to the Weaved cloud web service, as demonstrated by the name parameter to deviceSettings.php or shareDevice.php.",es
"Summer Baby Zoom Wifi Monitor & Internet Viewing System allows remote attackers to bypass authentication, related to the MySnapCam web service.",es
Cross-site scripting (XSS) vulnerability in the integrated web server on the Siemens Climatix BACnet/IP communication module with firmware before 10.34 allows remote attackers to inject arbitrary web script or HTML via a crafted URL.,es
"The kernel in Apple iOS before 9 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2015-5896 and CVE-2015-5903.",es
"Unspecified vulnerability in Oracle Sun Solaris 11 allows local users to affect confidentiality, integrity, and availability via unknown vectors related to Archive Utility.",classic
"Unspecified vulnerability in Oracle Sun Solaris 10 and 11 allows local users to affect confidentiality, integrity, and availability via unknown vectors related to Zone Framework.",classic
Unspecified vulnerability in Oracle Sun Solaris 11 allows remote attackers to affect availability via vectors related to SMB server user component.,classic
"IBM WebSphere Application Server (WAS) 8.5 Liberty Profile before 8.5.5.5 does not properly implement authData elements, which allows remote authenticated users to gain privileges via unspecified vectors.",classic
"Notes System Diagnostic (NSD) in IBM Domino 8.5.x before 8.5.3 FP6 IF6 and 9.x before 9.0.1 FP3 IF1 allows local users to obtain the System privilege via unspecified vectors, aka SPR TCHL9SST8V.",classic
"The Java SockJS client in Pivotal Spring Framework 4.1.x before 4.1.5 generates predictable session ids, which allows remote attackers to send messages to other sessions via unspecified vectors.",classic
"Heap-based buffer overflow in the __nss_hostname_digits_dots function in glibc 2.2, and other 2.x versions before 2.18, allows context-dependent attackers to execute arbitrary code via vectors related to the (1) gethostbyname or (2) gethostbyname2 function, aka ""GHOST.""",classic
"The Netlogon server implementation in smbd in Samba 3.5.x and 3.6.x before 3.6.25, 4.0.x before 4.0.25, 4.1.x before 4.1.17, and 4.2.x before 4.2.0rc5 performs a free operation on an uninitialized stack pointer, which allows remote attackers to execute arbitrary code via crafted Netlogon packets that use the ServerPasswordSet RPC API, as demonstrated by packets reaching the _netr_ServerPasswordSet function in rpc_server/netlogon/srv_netlog_nt.c.",classic
"The to_char function in PostgreSQL before 9.0.19, 9.1.x before 9.1.15, 9.2.x before 9.2.10, 9.3.x before 9.3.6, and 9.4.x before 9.4.1 allows remote authenticated users to cause a denial of service (crash) or possibly execute arbitrary code via a (1) large number of digits when processing a numeric formatting template, which triggers a buffer over-read, or (2) crafted timestamp formatting template, which triggers a buffer overflow.",classic
"The ASN1_TYPE_cmp function in crypto/asn1/a_type.c in OpenSSL before 0.9.8zf, 1.0.0 before 1.0.0r, 1.0.1 before 1.0.1m, and 1.0.2 before 1.0.2a does not properly perform boolean-type comparisons, which allows remote attackers to cause a denial of service (invalid read operation and application crash) via a crafted X.509 certificate to an endpoint that uses the certificate-verification feature.",classic
"The SSLv2 implementation in OpenSSL before 0.9.8zf, 1.0.0 before 1.0.0r, 1.0.1 before 1.0.1m, and 1.0.2 before 1.0.2a allows remote attackers to cause a denial of service (s2_lib.c assertion failure and daemon exit) via a crafted CLIENT-MASTER-KEY message.",classic
"The BMP decoder in QtGui in QT before 5.5 does not properly calculate the masks used to extract the color components, which allows remote attackers to cause a denial of service (divide-by-zero and crash) via a crafted BMP file.",classic
Unspecified vulnerability in the Siebel Core - Server Infrastructure component in Oracle Siebel CRM 8.1.1 and 8.2.2 allows remote attackers to affect confidentiality via unknown vectors related to Security.,classic
Unspecified vulnerability in the Siebel UI Framework component in Oracle Siebel CRM 8.1.1 and 8.2.2 allows remote attackers to affect integrity via unknown vectors related to AX/HI Web UI.,classic
"Unspecified vulnerability in Oracle MySQL Server 5.5.40 and earlier and 5.6.21 and earlier allows remote attackers to affect availability via unknown vectors related to Server : Replication, a different vulnerability than CVE-2015-0381.",classic
"Unspecified vulnerability in the Oracle Applications DBA component in Oracle E-Business Suite 11.5.10.2, 12.0.6, 12.1.3, 12.2.2, 12.2.3, and 12.2.4 allows remote authenticated users to affect confidentiality, integrity, and availability via unknown vectors related to DB Privileges.  NOTE: the previous information is from the January 2015 CPU. Oracle has not commented on the researcher's claim that the PUBLIC role is granted the INDEX privilege for the DUAL table during a ""seeded install,"" which allows remote authenticated users to gain SYSDBA privileges and execute arbitrary code.",classic
Unspecified vulnerability in the PeopleSoft Enterprise PeopleTools component in Oracle PeopleSoft Products 8.52 and 8.53 allows remote authenticated users to affect confidentiality via unknown vectors related to Report Distribution.,classic
Buffer overflow in Google Earth v4.0.2091 (beta) allows remote user-assisted attackers to cause a denial of service (crash) via a KML or KMZ file with a long href element.,classic
Apple Type Services (ATS) in Apple Mac OS X 10.5 before 10.5.6 allows remote attackers to cause a denial of service (infinite loop) via a crafted embedded font in a PDF file.,classic
"Managed Client in Apple Mac OS X before 10.5.6 sometimes misidentifies a system when installing per-host configuration settings, which allows context-dependent attackers to have an unspecified impact by leveraging unintended settings, as demonstrated by the screen saver lock setting.",classic
"The user interface event dispatcher in Mozilla Firefox 3.0.3 on Windows XP SP2 allows remote attackers to cause a denial of service (NULL pointer dereference and application crash) via a series of keypress, click, onkeydown, onkeyup, onmousedown, and onmouseup events.  NOTE: it was later reported that Firefox 3.0.2 on Mac OS X 10.5 is also affected.",classic
"The default configuration of Java 1.5 on Apple Mac OS X 10.5.4 and 10.5.5 contains a jurisdiction policy that limits Java Cryptography Extension (JCE) key sizes to 128 bits, which makes it easier for attackers to decrypt ciphertext produced by JCE.",classic
"Apple Mail.app 3.5 on Mac OS X, when ""Store draft messages on the server"" is enabled, stores draft copies of S/MIME email in plaintext on the email server, which allows server owners and remote man-in-the-middle attackers to read sensitive mail.",classic
